"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8442","Авторизаиця с корректными учетными данными","pom_project.tests","Thu Oct 23 18:48:18 UTC 2025","passed","Thu Oct 23 18:48:26 UTC 2025","","test_login_with_locators","",""
"","8349","Авторизаиця с недействительными учетными данными","pom_project.tests","Thu Oct 23 18:48:09 UTC 2025","passed","Thu Oct 23 18:48:18 UTC 2025","","test_login_with_locators","",""
"","8243","Авторизаиця с корректными учетными данными","pom_project.tests","Thu Oct 23 18:48:26 UTC 2025","passed","Thu Oct 23 18:48:34 UTC 2025","","test_login_with_locators","",""
"","9000","Авторизаиця с недействительными учетными данными","pom_project.tests","Thu Oct 16 18:38:11 UTC 2025","passed","Thu Oct 16 18:38:20 UTC 2025","","test_login","",""
