"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8245","Авторизаиця с корректными учетными данными","pom_project.tests","Thu Oct 30 17:45:27 UTC 2025","passed","Thu Oct 30 17:45:35 UTC 2025","","test_login_with_locators","",""
"","9000","Авторизаиця с недействительными учетными данными","pom_project.tests","Thu Oct 16 18:38:11 UTC 2025","passed","Thu Oct 16 18:38:20 UTC 2025","","test_login","",""
"","8365","Авторизаиця с недействительными учетными данными","pom_project.tests","Thu Oct 30 17:45:19 UTC 2025","passed","Thu Oct 30 17:45:27 UTC 2025","","test_login_with_locators","",""
"","8260","Авторизаиця с корректными учетными данными","pom_project.tests","Thu Oct 30 17:45:35 UTC 2025","passed","Thu Oct 30 17:45:44 UTC 2025","","test_login_with_locators","",""
